NEIGHBORHOOD,ADDRESS, SALE_PRICE ,SALE_DATE
HARLEM-WEST,"512 WEST 135TH STREET, 64","36,106",10/1/2019
HARLEM-CENTRAL,"2460 7TH AVENUE, 57","200,000",10/1/2019
MIDTOWN CBD,"2 EAST 55TH STREET, 1036","293,034",10/1/2019
CLINTON,"433 WEST 54TH STREET, 12","350,000",10/1/2019
UPPER EAST SIDE (59-79),"236 EAST 78TH STREET, 5B","363,750",10/1/2019
MIDTOWN WEST,"310 WEST 56TH STREET, 2E","462,500",10/1/2019
MIDTOWN EAST,"10 MITCHELL PLACE, 9F","480,000",10/1/2019
HARLEM-CENTRAL,"70 WEST 139 STREET, 5F","533,786",10/1/2019
MURRAY HILL,"225 EAST 36TH STREET, 6F","535,000",10/1/2019
UPPER EAST SIDE (59-79),"165 EAST 72ND STREET, 3B","540,000",10/1/2019
FLATIRON,"7 EAST 14TH STREET, 328","649,000",10/1/2019
TRIBECA,"250 SOUTH END AVENUE, 5B","675,000",10/1/2019
CIVIC CENTER,"215 PARK ROW, 18C","690,000",10/1/2019
GREENWICH VILLAGE-CENTRAL,"42 WEST 13TH STREET, 5B","747,500",10/1/2019
MIDTOWN EAST,"333 E 55TH ST, 6G","799,000",10/1/2019
UPPER WEST SIDE (59-79),"41 WEST 72ND STREET, 10F","962,246",10/1/2019
GREENWICH VILLAGE-CENTRAL,"50 WEST 9TH STREET, 1A","1,040,000",10/1/2019
SOUTHBRIDGE,"90 GOLD STREET, 24-C","1,060,000",10/1/2019
MURRAY HILL,"155 EAST 34TH STREET, 12F","1,065,000",10/1/2019
HARLEM-CENTRAL,"1485 5 AVENUE, 16G","1,100,000",10/1/2019
HARLEM-UPPER,"558 W 150TH STREET, 401","1,150,000",10/1/2019
FLATIRON,"5 EAST 22ND STREET, 15-H","1,215,000",10/1/2019
FLATIRON,"69 FIFTH AVENUE, 9F","1,215,000",10/1/2019
EAST VILLAGE,"24 2 AVENUE, 6E","1,237,174",10/1/2019
UPPER EAST SIDE (79-96),"1 GRACIE SQUARE, 15-E","1,390,500",10/1/2019
GRAMERCY,"122 EAST 23RD STREET, N1103","1,464,447",10/1/2019
MURRAY HILL,"50 PARK AVENUE, PHE","1,470,150",10/1/2019
UPPER WEST SIDE (79-96),"215 WEST 92ND STREET, 4E","1,475,000",10/1/2019
UPPER EAST SIDE (59-79),"30 E 62ND STREET, 6B","1,485,000",10/1/2019
UPPER WEST SIDE (96-116),"395 RIVERSIDE DRIVE, 9A","1,490,000",10/1/2019
CLINTON,"529 WEST 42ND STREET, 7/8X","1,572,800",10/1/2019
UPPER EAST SIDE (79-96),"51 EAST 90TH STREET, 5B","1,625,000",10/1/2019
ROOSEVELT ISLAND,"425 MAIN STREET, 14L","1,675,000",10/1/2019
MIDTOWN EAST,"959 1 AVENUE, 11B","1,730,000",10/1/2019
MIDTOWN CBD,"117 EAST 57TH STREET, 27A","1,850,000",10/1/2019
MIDTOWN EAST,"845 UNITED NATIONS PLAZA, 33E","2,042,500",10/1/2019
UPPER EAST SIDE (59-79),"1065 LEXINGTON AVENUE, 2B","2,065,000",10/1/2019
MANHATTAN VALLEY,"2131 FREDERICK DOUGLAS BLVD, 7F","2,150,000",10/1/2019
CHELSEA,"245 10TH AVENUE, 10/5E","2,275,000",10/1/2019
UPPER WEST SIDE (79-96),"30 WEST 90TH STREET, 7A","2,350,000",10/1/2019
UPPER WEST SIDE (79-96),"30 WEST 90TH STREET, 7B","2,350,000",10/1/2019
CIVIC CENTER,"91 LEONARD STREET, 3C","2,574,340",10/1/2019
CIVIC CENTER,"91 LEONARD STREET, SU20","2,574,340",10/1/2019
CHINATOWN,"161 GRAND STREET, 3B","2,575,000",10/1/2019
CIVIC CENTER,"108 LEONARD STREET, 9L","2,828,387",10/1/2019
UPPER WEST SIDE (59-79),"270 WEST END AVE, 5S","2,950,000",10/1/2019
HARLEM-CENTRAL,50 HAMILTON TERRACE,"3,800,000",10/1/2019
CHELSEA,"459 WEST 18TH ST, PH2","7,900,000",10/1/2019
INWOOD,"24 COOPER STREET, 3B","180,000",10/2/2019
WASHINGTON HEIGHTS UPPER,"550 FORT WASHINGTON AVENUE, 1C","329,000",10/2/2019
MURRAY HILL,"225 EAST 36TH STREET, 15B","410,000",10/2/2019
MIDTOWN EAST,"333 EAST 41ST STREET, 6F","445,000",10/2/2019
UPPER EAST SIDE (59-79),"575 PARK AVENUE, 1509","455,000",10/2/2019
MIDTOWN WEST,"310 WEST 56TH STREET, 5D","464,900",10/2/2019
WASHINGTON HEIGHTS UPPER,"45 OVERLOOK TERRACE, 4H","483,538",10/2/2019
MIDTOWN WEST,"350 WEST 50TH STREET, 4II","535,000",10/2/2019
MIDTOWN WEST,"350 WEST 50TH STREET, 5HH","547,000",10/2/2019
GREENWICH VILLAGE-CENTRAL,"55 EAST 9TH STREET, 9B","560,000",10/2/2019
MURRAY HILL,"10 PARK AVENUE, 14B","567,500",10/2/2019
MIDTOWN WEST,"150 WEST 51ST STREET, 18-4","570,000",10/2/2019
MIDTOWN WEST,"314 WEST 56TH STREET, 3C","575,000",10/2/2019
UPPER EAST SIDE (79-96),"245 EAST 93RD STREET, 24E","600,000",10/2/2019
MIDTOWN WEST,"150 WEST 51ST STREET, 14-12","628,500",10/2/2019
LOWER EAST SIDE,"504 GRAND STREET, B14","670,000",10/2/2019
MURRAY HILL,"26 EAST 38TH STREET, 2R","680,000",10/2/2019
FLATIRON,"66 MADISON AVENUE, 8D","685,000",10/2/2019
TRIBECA,"377 RECTOR PLACE, 11E","685,000",10/2/2019
MIDTOWN EAST,"301 EAST 48TH STREET, 12H","700,000",10/2/2019
SOUTHBRIDGE,"324 PEARL STREET, 1A","700,000",10/2/2019
UPPER WEST SIDE (96-116),"200 WEST 108TH STREET, 11C","728,000",10/2/2019
GREENWICH VILLAGE-CENTRAL,"77 EAST 12TH STREET, 2K","750,000",10/2/2019
GREENWICH VILLAGE-CENTRAL,"126 EAST 12TH STREET, 6D","815,000",10/2/2019
CHELSEA,"308 W 30TH ST, 10A","850,000",10/2/2019
MIDTOWN CBD,"470 PARK AVENUE, 10D","850,000",10/2/2019
HARLEM-UPPER,521 WEST 150 ST,"950,000",10/2/2019
MURRAY HILL,"200 EAST 36TH STREET, 16B","955,000",10/2/2019
UPPER EAST SIDE (59-79),"360 EAST 72ND STREET, A405","965,000",10/2/2019
FLATIRON,"280 PARK AVENUE SOUTH, 21D","990,000",10/2/2019
UPPER EAST SIDE (59-79),"169 EAST 69TH STREET, 2-D","1,015,000",10/2/2019
UPPER EAST SIDE (79-96),"401 EAST 89TH STREET, 7P","1,100,000",10/2/2019
MURRAY HILL,"225 EAST 34TH STREET, 10J","1,250,000",10/2/2019
UPPER EAST SIDE (59-79),"205 EAST 63RD STREET, 8B","1,292,500",10/2/2019
UPPER EAST SIDE (79-96),"225 EAST 79TH STREET, 5AB","1,495,000",10/2/2019
UPPER EAST SIDE (79-96),"177 EAST 79 STREET, 6A","1,555,000",10/2/2019
UPPER EAST SIDE (79-96),"1641 THIRD AVE, 11A","1,587,000",10/2/2019
MIDTOWN EAST,"303 EAST 43RD STREET, 7B","1,725,000",10/2/2019
MIDTOWN WEST,"220 CENTRAL PARK SOUTH, 18G","1,787,029",10/2/2019
CLINTON,"505 WEST 43RD STREET, 6F","1,915,000",10/2/2019
GREENWICH VILLAGE-CENTRAL,"79 WEST 12TH STREET, 9D","1,995,000",10/2/2019
CHELSEA,"346 WEST 22ND STREET, 4","2,247,500",10/2/2019
CHELSEA,"130 WEST 24TH STREET, 2A","2,300,000",10/2/2019
UPPER WEST SIDE (59-79),"25 CENTRAL PARK WEST, 10U","2,400,000",10/2/2019
UPPER WEST SIDE (59-79),"25 CENTRAL PARK WEST, 10V","2,400,000",10/2/2019
CIVIC CENTER,"108 LEONARD STREET, 7L","2,610,932",10/2/2019
LOWER EAST SIDE,"250 SOUTH STREET, 63D","2,855,100",10/2/2019
CHELSEA,"550 WEST 29TH STREET, 7A","4,050,000",10/2/2019
UPPER EAST SIDE (79-96),"993 FIFTH AVENUE, 2A","5,600,000",10/2/2019
SOUTHBRIDGE,107 SOUTH STREET,"6,000,000",10/2/2019
UPPER EAST SIDE (59-79),"181 EAST 65TH STREET, 29A","8,300,000",10/2/2019
FLATIRON,17 WEST 24TH STREET,"9,250,000",10/2/2019
UPPER EAST SIDE (79-96),"993 FIFTH AVENUE, 11","19,000,000",10/2/2019
HARLEM-WEST,3300 BROADWAY,"33,600,000",10/2/2019
UPPER EAST SIDE (79-96),"115 EAST 90TH STREET, PHN","400,000",10/3/2019
CLINTON,"457 WEST 43RD STREET, 4F","410,670",10/3/2019
GREENWICH VILLAGE-CENTRAL,"45 WEST 10TH STREET, 7A","425,000",10/3/2019
GREENWICH VILLAGE-WEST,"354 WEST 12TH STREET, 3D","470,000",10/3/2019
UPPER WEST SIDE (59-79),"18 WEST 70TH STREET, 5F","490,626",10/3/2019
GRAMERCY,"200 EAST 16TH, 12H","517,000",10/3/2019
MIDTOWN EAST,"45 TUDOR CITY PLACE, 2107","530,000",10/3/2019
HARLEM-EAST,"319 EAST 105 STREET, 4C","560,000",10/3/2019
UPPER WEST SIDE (59-79),"175 WEST 73RD STREET, 11D","635,000",10/3/2019
UPPER WEST SIDE (96-116),"789 WEST END AVENUE, PH4","636,406",10/3/2019
MANHATTAN VALLEY,"220 MANHATTAN AVENUE, 1B","645,000",10/3/2019
WASHINGTON HEIGHTS LOWER,"611 WEST 156 STREET, 3","650,000",10/3/2019
GREENWICH VILLAGE-CENTRAL,"111 FOURTH AVENUE, 4M","670,000",10/3/2019
MURRAY HILL,"50 PARK AVENUE, 8A","680,000",10/3/2019
UPPER EAST SIDE (59-79),"205 E 78 ST, 7K","700,000",10/3/2019
UPPER EAST SIDE (59-79),"245 EAST 72ND STREET, 16E","750,000",10/3/2019
GREENWICH VILLAGE-CENTRAL,"184 THOMPSON STREET, 4V","762,000",10/3/2019
GREENWICH VILLAGE-CENTRAL,"2 FIFTH AVENUE, 2E","815,000",10/3/2019
MIDTOWN EAST,"342 EAST 51ST STREET, 4 A/B","830,000",10/3/2019
MIDTOWN EAST,"342 EAST 51ST STREET, 4 A/B","830,000",10/3/2019
MIDTOWN EAST,"300 EAST 59TH STREET, 3603","860,000",10/3/2019
MURRAY HILL,"30 EAST 37 STREET, 6B","860,000",10/3/2019
HARLEM-UPPER,"450 WEST 147TH STREET, 54","875,000",10/3/2019
MIDTOWN WEST,"347 WEST 57TH STREET, 3B","900,000",10/3/2019
UPPER WEST SIDE (59-79),"11 RIVERSIDE DRIVE, 4CW","925,000",10/3/2019
CLINTON,"407 WEST 40TH STREET, 5B","946,750",10/3/2019
UPPER EAST SIDE (59-79),"157 EAST 72ND STREET, 10H","975,000",10/3/2019
UPPER WEST SIDE (79-96),"250 WEST 89TH STREET, 14F","1,075,000",10/3/2019
KIPS BAY,"305 EAST 24TH STREET, PHB","1,170,000",10/3/2019
GREENWICH VILLAGE-CENTRAL,"77 BLEECKER STREET, 823","1,286,000",10/3/2019
MIDTOWN EAST,"236 EAST 47TH STREET, 32F","1,375,000",10/3/2019
MIDTOWN EAST,"60 SUTTON PLACE SOUTH, 4JS","1,387,500",10/3/2019
LOWER EAST SIDE,"250 SOUTH STREET, 52E","1,448,173",10/3/2019
GREENWICH VILLAGE-WEST,"2 HORATIO STREET, RES1","1,460,000",10/3/2019
UPPER WEST SIDE (59-79),"200 RIVERSIDE BOULEVARD, 304","1,530,000",10/3/2019
UPPER EAST SIDE (59-79),"174 EAST 74TH STREET, 2C","1,569,750",10/3/2019
UPPER WEST SIDE (59-79),"45 WEST 67TH STREET, 12C","1,645,000",10/3/2019
MIDTOWN WEST,"30 WEST 60TH STREET, 7M","1,760,000",10/3/2019
MIDTOWN EAST,"50 SUTTON PLACE SOUTH, 19G","1,800,000",10/3/2019
UPPER EAST SIDE (79-96),"1150 PARK AVENUE, 12A","1,807,215",10/3/2019
UPPER EAST SIDE (59-79),"401 EAST 60TH STREET, 4D","1,910,000",10/3/2019
HARLEM-CENTRAL,"220 WEST 148TH STREET, 4D","1,925,000",10/3/2019
GREENWICH VILLAGE-WEST,"421 HUDSON STREET, 710","1,950,000",10/3/2019
UPPER WEST SIDE (79-96),"200 WEST 86TH STREET, PHF","2,200,000",10/3/2019
UPPER EAST SIDE (59-79),"150 EAST 61ST STREET, 6BC","2,222,000",10/3/2019
UPPER EAST SIDE (59-79),"955 FIFTH AVENUE, 8A","2,500,000",10/3/2019
UPPER EAST SIDE (59-79),"200 EAST 66TH STREET, C0404","2,500,000",10/3/2019
LOWER EAST SIDE,"250 SOUTH STREET, 35L","2,641,268",10/3/2019
UPPER EAST SIDE (79-96),"1105 PARK AVENUE, 6C","2,750,000",10/3/2019
TRIBECA,"212 WARREN STREET, 16G","2,850,000",10/3/2019
GREENWICH VILLAGE-CENTRAL,"135 WEST 4TH STREET, 1W","2,900,000",10/3/2019
UPPER EAST SIDE (79-96),"1088 PARK AVENUE, 5E","4,250,000",10/3/2019
GRAMERCY,"121 EAST 22ND STREET, N706","5,147,846",10/3/2019
TRIBECA,"443 GREENWICH STREET, 3G","7,500,000",10/3/2019
FINANCIAL,7 HANOVER SQUARE,"147,000,000",10/3/2019
MURRAY HILL,"67 PARK AVENUE, 1D","110,000",10/4/2019
MORNINGSIDE HEIGHTS,"1264 AMSTERDAM AVENUE, 5C","365,000",10/4/2019
HARLEM-UPPER,"470 WEST 146TH STREET, 54","395,000",10/4/2019
CHELSEA,"310 WEST 18TH STREET, 5A","400,000",10/4/2019
ALPHABET CITY,"311 EAST 3RD STREET, 29","420,000",10/4/2019
GREENWICH VILLAGE-CENTRAL,"30 EAST 9TH STREET, 6GG","455,000",10/4/2019
UPPER WEST SIDE (59-79),"264 WEST 77TH STREET, 6","500,000",10/4/2019
CHELSEA,"520 WEST 23RD STREET, 11A","660,000",10/4/2019
UPPER EAST SIDE (79-96),"330 EAST 80TH STREET, 1A","685,000",10/4/2019
GRAMERCY,"31 GRAMERCY PARK SOUTH, 2A","690,000",10/4/2019
UPPER EAST SIDE (79-96),"345 EAST 86TH STREET, 2G","695,000",10/4/2019
HARLEM-UPPER,"558 W 150TH STREET, 402","765,000",10/4/2019
MURRAY HILL,"132 EAST 35TH STREET, 12L","775,000",10/4/2019
MIDTOWN EAST,"321 EAST 43RD STREET, 111/2","790,000",10/4/2019
UPPER EAST SIDE (59-79),"360 EAST 72ND STREET, A1409","790,000",10/4/2019
MIDTOWN EAST,"211 EAST 46TH STREET, 24B","915,000",10/4/2019
UPPER WEST SIDE (79-96),"230 RIVERSIDE DRIVE, 10H","920,000",10/4/2019
MIDTOWN EAST,"333 EAST 43RD STREET, PH10","950,000",10/4/2019
UPPER EAST SIDE (59-79),"300 EAST 62 ST, 1204","997,000",10/4/2019
SOUTHBRIDGE,"77 FULTON STREET, 18D","999,500",10/4/2019
MIDTOWN EAST,"319 EAST 50TH STREET, 7ED","1,080,000",10/4/2019
UPPER WEST SIDE (79-96),"257 CENTRAL PARK WEST, 3E","1,100,000",10/4/2019
GREENWICH VILLAGE-WEST,"260 WEST 10TH STREET, 5W","1,115,000",10/4/2019
GREENWICH VILLAGE-WEST,"2 HORATIO, 15P","1,160,494",10/4/2019
UPPER EAST SIDE (79-96),"425 EAST 79TH STREET, 7E","1,200,000",10/4/2019
MIDTOWN WEST,"150 WEST 56TH STREET, 6405","1,450,000",10/4/2019
GREENWICH VILLAGE-WEST,"366 WEST 11TH STREET, 10A","1,565,000",10/4/2019
CLINTON,"500 WEST 43RD STREET, 3A","1,650,000",10/4/2019
CLINTON,"500 WEST 43RD STREET, 3K","1,650,000",10/4/2019
WASHINGTON HEIGHTS UPPER,"180 CABRINI BLVD, 47-48","1,650,000",10/4/2019
GREENWICH VILLAGE-CENTRAL,"55 EAST 9TH STREET, 1HJ","1,700,000",10/4/2019
UPPER EAST SIDE (79-96),"10 EAST 85TH STREET, 6B","1,760,000",10/4/2019
CHELSEA,"444 WEST 19TH STREET, 605","1,875,000",10/4/2019
GREENWICH VILLAGE-CENTRAL,"70 EAST 10TH STREET, 18V","1,890,900",10/4/2019
UPPER EAST SIDE (59-79),"35 EAST 76TH STREET, 1708","1,900,000",10/4/2019
TRIBECA,"30 LITTLE WEST STREET, 25B","2,213,000",10/4/2019
TRIBECA,"111 MURRAY STREET, 12A","2,250,000",10/4/2019
MIDTOWN WEST,"100 CENTRAL PARK SOUTH, 2A","2,443,800",10/4/2019
KIPS BAY,"415 EAST 37TH STREET, 26K","2,575,000",10/4/2019
KIPS BAY,"415 EAST 37TH STREET, 26L","2,575,000",10/4/2019
HARLEM-EAST,1661 MADISON AVENUE,"2,650,000",10/4/2019
LOWER EAST SIDE,"250 SOUTH STREET, 45L","2,657,235",10/4/2019
LOWER EAST SIDE,"250 SOUTH STREET, 51A","2,763,931",10/4/2019
FINANCIAL,"75 WALL STREET, 34O","2,875,000",10/4/2019
TRIBECA,"30 LITTLE WEST STREET, 25A","2,925,000",10/4/2019
UPPER WEST SIDE (59-79),"50 RIVERSIDE BOULEVARD, 6A","3,270,000",10/4/2019
UPPER WEST SIDE (59-79),"277 WEST END AVENUE, 9B","3,400,000",10/4/2019
TRIBECA,"111 MURRAY STREET, 25B","3,875,000",10/4/2019
CIVIC CENTER,"91 LEONARD STREET, 10F","3,989,707",10/4/2019
CIVIC CENTER,"91 LEONARD STREET, SU73","3,989,707",10/4/2019
TRIBECA,"111 MURRAY STREET, 39B","4,375,000",10/4/2019
UPPER EAST SIDE (59-79),"936 FIFTH AVENUE, 9B","4,500,000",10/4/2019
GREENWICH VILLAGE-WEST,"2 HORATIO STREET, 3LMN","4,550,000",10/4/2019
HARLEM-EAST,2193 THIRD AVENUE,"5,500,000",10/4/2019
HARLEM-EAST,2195 THIRD AVENUE,"5,500,000",10/4/2019
MIDTOWN WEST,"310 WEST 52ND STREET, SU173","32,676",10/7/2019
UPPER EAST SIDE (79-96),"1040 PARK AVENUE, SR10","199,000",10/7/2019
UPPER EAST SIDE (79-96),"1040 PARK AVENUE, SR2","201,786",10/7/2019
MURRAY HILL,"35 EAST 30TH STREET, 5D","230,000",10/7/2019
MIDTOWN EAST,"345 EAST 54TH STREET, 4C","338,350",10/7/2019
UPPER EAST SIDE (59-79),"221 EAST 76TH STREET, 6A","417,000",10/7/2019
MIDTOWN CBD,"153 EAST 57TH STREET, 17C","425,000",10/7/2019
UPPER EAST SIDE (79-96),"445 EAST 86TH STREET, 11E","452,000",10/7/2019
GREENWICH VILLAGE-WEST,"101 WEST 12TH STREET, 14Y","470,000",10/7/2019
HARLEM-CENTRAL,"70 WEST 139 STREET, 6F","533,786",10/7/2019
MIDTOWN EAST,"25 TUDOR CITY PLACE, 1805","565,000",10/7/2019
GREENWICH VILLAGE-WEST,"65 MORTON STREET, 1MK","599,000",10/7/2019
UPPER WEST SIDE (79-96),"588 WEST END AVENUE, 8D","648,000",10/7/2019
MURRAY HILL,"234 EAST 35TH STREET, 4","650,000",10/7/2019
MORNINGSIDE HEIGHTS,"80 LA SALLE STREET, 8G","690,000",10/7/2019
FLATIRON,"7 EAST 14TH STREET, 830","710,000",10/7/2019
MURRAY HILL,"407 PARK AVENUE SOUTH, 14D","745,000",10/7/2019
WASHINGTON HEIGHTS UPPER,"900 WEST 190TH STREET, 12-D","755,000",10/7/2019
MIDTOWN EAST,"415 EAST 52ND STREET, 4EC","818,000",10/7/2019
FLATIRON,"10 WEST 15TH STREET, 708","835,000",10/7/2019
GRAMERCY,"201 EAST 17TH STREET, 19J","892,307",10/7/2019
MIDTOWN WEST,"393 WEST 49TH STREET, 2HH","895,000",10/7/2019
KIPS BAY,"330 EAST 38TH STREET, 28Q","930,000",10/7/2019
MIDTOWN EAST,"235 EAST 40TH STREET, 17B","976,000",10/7/2019
MANHATTAN VALLEY,"100 MANHATTAN AVENUE, 35","1,075,000",10/7/2019
HARLEM-CENTRAL,345 WEST 123 STREET,"1,100,000",10/7/2019
MANHATTAN VALLEY,"49 WEST 96TH STREET, 6C","1,195,000",10/7/2019
MANHATTAN VALLEY,"49 WEST 96TH STREET, 6D","1,195,000",10/7/2019
TRIBECA,"200 RECTOR PLACE, 27H","1,200,000",10/7/2019
MURRAY HILL,"45 EAST 30TH STREET, 4A","1,325,000",10/7/2019
LOWER EAST SIDE,"250 SOUTH STREET, 48F","1,343,763",10/7/2019
UPPER EAST SIDE (79-96),"239 EAST 79TH STREET, 11A","1,350,000",10/7/2019
UPPER WEST SIDE (79-96),"134 WEST 93RD STREET, 7E","1,450,000",10/7/2019
MURRAY HILL,"20 EAST 35TH STREET, 5J","1,460,000",10/7/2019
CHELSEA,"250 WEST 24TH STREET, 3GW","1,465,000",10/7/2019
FINANCIAL,"50 WEST STREET, 31B","1,532,466",10/7/2019
MIDTOWN EAST,"45 SUTTON PLACE SOUTH, 17L","1,650,000",10/7/2019
UPPER EAST SIDE (59-79),"360 EAST 72ND STREET, C2400","1,715,000",10/7/2019
MIDTOWN EAST,"418 EAST 59TH STREET, 11A","1,800,000",10/7/2019
HARLEM-EAST,350 EAST 116TH STREET,"1,850,000",10/7/2019
UPPER EAST SIDE (59-79),"870 5TH AVENUE, 12C","1,916,500",10/7/2019
UPPER EAST SIDE (79-96),"10 EAST END AVENUE, 17C","1,975,000",10/7/2019
UPPER WEST SIDE (59-79),"11 RIVERSIDE DRIVE, 4NE","2,235,000",10/7/2019
UPPER EAST SIDE (79-96),"1760 SECOND AVENUE, 29A","2,410,000",10/7/2019
FASHION,"50 WEST 29TH STREET, 7W","2,425,000",10/7/2019
LOWER EAST SIDE,"250 SOUTH STREET, 48L","2,565,511",10/7/2019
LOWER EAST SIDE,"250 SOUTH STREET, 47L","2,615,811",10/7/2019
GREENWICH VILLAGE-WEST,"31 JANE STREET, 15GH","2,665,000",10/7/2019
UPPER WEST SIDE (59-79),"336 WEST END AVENUE, 7C/D","2,715,000",10/7/2019
UPPER EAST SIDE (59-79),"200 EAST 66TH STREET, D2004","2,880,000",10/7/2019
UPPER EAST SIDE (96-110),"1165 FIFTH AVENUE, 5B","3,735,000",10/7/2019
CHELSEA,448 WEST 25TH STREET,"4,800,000",10/7/2019
GREENWICH VILLAGE-WEST,86 CHRISTOPHER STREET,"5,500,000",10/7/2019
CIVIC CENTER,"49 CHAMBERS STREET, 15E","7,100,000",10/7/2019
GREENWICH VILLAGE-CENTRAL,25 EAST 11TH STREET,"12,500,000",10/7/2019
GREENWICH VILLAGE-CENTRAL,"21 EAST 12TH STREET, PHC","17,281,288",10/7/2019
MIDTOWN WEST,"1 CENTRAL PARK SOUTH, 1809","31,250,000",10/7/2019
INWOOD,"90 PARK TERRACE EAST, 4G","305,000",10/8/2019
MANHATTAN VALLEY,"4-6 WEST 105TH STREET, 4A","383,000",10/8/2019
WASHINGTON HEIGHTS LOWER,"474 W. 158TH ST, 44","450,000",10/8/2019
CHELSEA,"160 7TH AVENUE, 205","465,000",10/8/2019
CLINTON,"411 WEST 44TH STREET, 12","482,000",10/8/2019
ALPHABET CITY,"616 EAST 9TH STREET, 3E","505,000",10/8/2019
MIDTOWN EAST,"45 TUDOR CITY PLACE, 1504","562,000",10/8/2019
WASHINGTON HEIGHTS UPPER,"120 CABRINI BOULEVARD, 47","660,500",10/8/2019
MURRAY HILL,"20 EAST 35TH STREET, 5F","662,000",10/8/2019
MIDTOWN WEST,"150 WEST 51ST STREET, 20-30","690,000",10/8/2019
HARLEM-CENTRAL,"66-72 ST NICHOLAS AVENUE, 2C","717,000",10/8/2019
UPPER WEST SIDE (59-79),"80 RIVERSIDE BOULEVARD, 9K","751,680",10/8/2019
UPPER EAST SIDE (59-79),"118 EAST 60TH STREET, 27B","770,000",10/8/2019
UPPER WEST SIDE (79-96),"102 WEST 85TH STREET, 3D","785,000",10/8/2019
HARLEM-UPPER,"558 W 150TH STREET, 301","800,000",10/8/2019
UPPER WEST SIDE (96-116),"507 WEST 111TH STREET, 61","805,000",10/8/2019
LOWER EAST SIDE,"504 GRAND STREET, G42","849,000",10/8/2019
MIDTOWN EAST,"313 EAST 56TH STREET, 3C","860,000",10/8/2019
GREENWICH VILLAGE-WEST,"720 GREENWICH STREET, 1R","920,000",10/8/2019
CIVIC CENTER,"91 LEONARD STREET, 13D","997,885",10/8/2019
GREENWICH VILLAGE-CENTRAL,"79 WEST 12TH STREET, 5G","999,000",10/8/2019
UPPER EAST SIDE (79-96),"45 EAST END AVENUE, 5H","1,030,000",10/8/2019
GREENWICH VILLAGE-WEST,"130 JANE STREET, 4K","1,100,000",10/8/2019
UPPER EAST SIDE (59-79),"175 EAST 62ND STREET, 2C","1,150,000",10/8/2019
TRIBECA,"30 LITTLE WEST STREET, 27D","1,168,000",10/8/2019
FINANCIAL,"15 BROAD STREET, 3414","1,225,000",10/8/2019
HARLEM-UPPER,"558 W 150TH STREET, 101","1,228,264",10/8/2019
FINANCIAL,"15 BROAD STREET, 1704","1,275,000",10/8/2019
GRAMERCY,"215 EAST 19TH STREET, 5G","1,308,451",10/8/2019
GREENWICH VILLAGE-CENTRAL,"25 MINETTA LANE, 5C","1,350,000",10/8/2019
INWOOD,535 WEST 217 STREET,"1,530,000",10/8/2019
FLATIRON,"280 PARK AVENUE SOUTH, 22F","1,545,000",10/8/2019
JAVITS CENTER,511 WEST 35TH STREET,"1,838,000",10/8/2019
JAVITS CENTER,506 WEST 36TH STREET,"1,838,000",10/8/2019
JAVITS CENTER,512 WEST 36TH STREET,"1,838,000",10/8/2019
CHELSEA,"151 WEST 21ST STREET, 1B","2,400,000",10/8/2019
LOWER EAST SIDE,"250 SOUTH STREET, 41L","2,631,085",10/8/2019
CIVIC CENTER,"91 LEONARD STREET, 10A","2,833,993",10/8/2019
FINANCIAL,"101 WALL ST, 22A","3,175,000",10/8/2019
CIVIC CENTER,"56 LEONARD STREET, 30BE","4,775,000",10/8/2019
CIVIC CENTER,"30 PARK PLACE, 51E","5,050,000",10/8/2019
UPPER WEST SIDE (79-96),310 WEST 89TH STREET,"5,600,000",10/8/2019
MIDTOWN EAST,1 SUTTON PLACE,"13,000,000",10/8/2019
HARLEM-CENTRAL,"70 WEST 139 STREET, 3C","533,786",10/9/2019
HARLEM-CENTRAL,"70 WEST 139TH, 3D","533,786",10/9/2019
MURRAY HILL,"200 E 36 STREET, 10C","625,000",10/9/2019
UPPER EAST SIDE (79-96),"350 EAST 82ND STREET, 6G","790,000",10/9/2019
MIDTOWN WEST,"333 WEST 57TH STREET, 5H","880,000",10/9/2019
MIDTOWN EAST,"440 EAST 56, 4B","990,000",10/9/2019
MIDTOWN EAST,"440 EAST 56, 4C","990,000",10/9/2019
MIDTOWN WEST,"345 WEST 58TH STREET, 8C","1,125,000",10/9/2019
TRIBECA,"200 CHAMBERS STREET, ST27","42,500",10/10/2019
INWOOD,"77 PARK TERRACE EAST, D19","244,500",10/10/2019
MIDTOWN EAST,"45 TUDOR CITY PLACE, 701","295,000",10/10/2019
UPPER EAST SIDE (59-79),"233 EAST 70TH STREET, 5R","389,813",10/10/2019
MIDTOWN WEST,"350 W 56TH STREET, 2C","400,000",10/10/2019
WASHINGTON HEIGHTS LOWER,"70 HAVEN AVENUE, 3I","410,000",10/10/2019
HARLEM-CENTRAL,"1901 MADISON AVENUE, 116","420,000",10/10/2019
UPPER WEST SIDE (59-79),"120 WEST 78TH STREET, 4B","425,000",10/10/2019
INWOOD,"45 PARK TERRACE WEST, 1-F","456,400",10/10/2019
HARLEM-UPPER,"441 CONVENT AVENUE, 2B","462,500",10/10/2019
HARLEM-CENTRAL,"40 WEST 116 STREET, B804","480,000",10/10/2019
UPPER EAST SIDE (59-79),"240 EAST 76TH STREET, 6T","515,000",10/10/2019
